stock_index,stock_name,industry,SH_slope,slope,diff
600309,万华化学,化工原料,-0.022,0.049,0.07100000000000001
600585,海螺水泥,水泥,-0.022,0.046,0.068
600048,保利地产,全国地产,-0.022,0.044,0.066
601138,工业富联,通信设备,-0.022,0.044,0.066
600031,三一重工,工程机械,-0.022,0.043,0.065
601012,隆基股份,半导体,-0.022,0.038,0.06
603993,洛阳钼业,小金属,-0.022,0.036,0.057999999999999996
600887,伊利股份,乳制品,-0.022,0.036,0.057999999999999996
601288,农业银行,银行,-0.022,0.031,0.053
600547,山东黄金,黄金,-0.022,0.027,0.049
600028,中国石化,石油加工,-0.022,0.026,0.048
600703,三安光电,半导体,-0.022,0.025,0.047
601186,中国铁建,建筑施工,-0.022,0.023,0.045
600016,民生银行,银行,-0.022,0.023,0.045
601668,中国建筑,建筑施工,-0.022,0.014,0.036
601066,中信建投,证券,-0.022,0.011,0.033
601989,中国重工,船舶,-0.022,0.009,0.031
601688,华泰证券,证券,-0.022,0.005,0.027
601211,国泰君安,证券,-0.022,0.005,0.027
601390,中国中铁,建筑施工,-0.022,0.0,0.022
601857,中国石油,石油开采,-0.022,-0.004,0.018
601111,中国国航,空运,-0.022,-0.004,0.018
601398,工商银行,银行,-0.022,-0.006,0.016
600030,中信证券,证券,-0.022,-0.009,0.013
600104,上汽集团,汽车整车,-0.022,-0.013,0.009
600837,海通证券,证券,-0.022,-0.013,0.009
601088,中国神华,煤炭开采,-0.022,-0.015,0.006999999999999999
600009,上海机场,机场,-0.022,-0.016,0.005999999999999998
601988,中国银行,银行,-0.022,-0.018,0.004
601888,中国国旅,旅游服务,-0.022,-0.02,0.0019999999999999983
601766,中国中车,运输设备,-0.022,-0.021,0.0009999999999999974
601939,建设银行,银行,-0.022,-0.022,0.0
600340,华夏幸福,区域地产,-0.022,-0.022,0.0
601328,交通银行,银行,-0.022,-0.029,-0.007000000000000003
600276,恒瑞医药,化学制药,-0.022,-0.032,-0.010000000000000002
600050,中国联通,电信运营,-0.022,-0.033,-0.011000000000000003
600000,浦发银行,银行,-0.022,-0.033,-0.011000000000000003
603259,药明康德,化学制药,-0.022,-0.034,-0.012000000000000004
601818,光大银行,银行,-0.022,-0.034,-0.012000000000000004
600036,招商银行,银行,-0.022,-0.035,-0.013000000000000005
601336,新华保险,保险,-0.022,-0.037,-0.015
601601,中国太保,保险,-0.022,-0.038,-0.016
600690,青岛海尔,家用电器,-0.022,-0.04,-0.018000000000000002
601628,中国人寿,保险,-0.022,-0.042,-0.020000000000000004
600519,贵州茅台,白酒,-0.022,-0.044,-0.022
600196,复星医药,化学制药,-0.022,-0.044,-0.022
601166,兴业银行,银行,-0.022,-0.045,-0.023
601318,中国平安,保险,-0.022,-0.049,-0.027000000000000003
601319,中国人保,保险,-0.022,-0.05,-0.028000000000000004
