adj_close,stock_date,stock_index
5.67,2018-01-02,601398
5.65,2018-01-03,601398
5.57,2018-01-04,601398
5.58,2018-01-05,601398
5.57,2018-01-08,601398
5.58,2018-01-09,601398
5.65,2018-01-10,601398
5.69,2018-01-11,601398
5.73,2018-01-12,601398
5.9,2018-01-15,601398
6.04,2018-01-16,601398
6.16,2018-01-17,601398
6.54,2018-01-18,601398
6.53,2018-01-19,601398
6.57,2018-01-22,601398
6.87,2018-01-23,601398
6.79,2018-01-24,601398
6.74,2018-01-25,601398
6.76,2018-01-26,601398
6.81,2018-01-29,601398
6.68,2018-01-30,601398
6.86,2018-01-31,601398
7.04,2018-02-01,601398
6.97,2018-02-02,601398
7.11,2018-02-05,601398
6.94,2018-02-06,601398
6.54,2018-02-07,601398
6.25,2018-02-08,601398
6.13,2018-02-09,601398
6.06,2018-02-12,601398
6.24,2018-02-13,601398
6.31,2018-02-14,601398
6.42,2018-02-22,601398
6.43,2018-02-23,601398
6.44,2018-02-26,601398
6.23,2018-02-27,601398
6.12,2018-02-28,601398
6.13,2018-03-01,601398
6.13,2018-03-02,601398
6.07,2018-03-05,601398
6.01,2018-03-06,601398
6.08,2018-03-07,601398
6.01,2018-03-08,601398
6.01,2018-03-09,601398
5.94,2018-03-12,601398
5.96,2018-03-13,601398
5.91,2018-03-14,601398
5.92,2018-03-15,601398
5.83,2018-03-16,601398
5.87,2018-03-19,601398
5.99,2018-03-20,601398
5.95,2018-03-21,601398
5.93,2018-03-22,601398
5.78,2018-03-23,601398
5.52,2018-03-26,601398
5.48,2018-03-27,601398
5.48,2018-03-28,601398
5.58,2018-03-29,601398
5.58,2018-03-30,601398
5.47,2018-04-02,601398
5.39,2018-04-03,601398
5.38,2018-04-04,601398
5.37,2018-04-09,601398
5.61,2018-04-10,601398
5.72,2018-04-11,601398
5.58,2018-04-12,601398
5.53,2018-04-13,601398
5.34,2018-04-16,601398
5.31,2018-04-17,601398
5.39,2018-04-18,601398
5.43,2018-04-19,601398
5.43,2018-04-20,601398
5.52,2018-04-23,601398
5.58,2018-04-24,601398
5.49,2018-04-25,601398
5.46,2018-04-26,601398
5.5,2018-04-27,601398
5.48,2018-05-02,601398
5.46,2018-05-03,601398
5.42,2018-05-04,601398
5.46,2018-05-07,601398
5.48,2018-05-08,601398
5.49,2018-05-09,601398
5.5,2018-05-10,601398
5.57,2018-05-11,601398
5.57,2018-05-14,601398
5.58,2018-05-15,601398
5.5,2018-05-16,601398
5.47,2018-05-17,601398
5.55,2018-05-18,601398
5.53,2018-05-21,601398
5.47,2018-05-22,601398
5.36,2018-05-23,601398
5.29,2018-05-24,601398
5.3,2018-05-25,601398
5.28,2018-05-28,601398
5.26,2018-05-29,601398
5.16,2018-05-30,601398
5.19,2018-05-31,601398
5.17,2018-06-01,601398
5.23,2018-06-04,601398
5.23,2018-06-05,601398
5.18,2018-06-06,601398
5.22,2018-06-07,601398
5.12,2018-06-08,601398
5.12,2018-06-11,601398
5.14,2018-06-12,601398
5.12,2018-06-13,601398
5.15,2018-06-14,601398
5.23,2018-06-15,601398
5.26,2018-06-19,601398
5.22,2018-06-20,601398
5.21,2018-06-21,601398
5.2,2018-06-22,601398
5.08,2018-06-25,601398
4.97,2018-06-26,601398
4.87,2018-06-27,601398
4.77,2018-06-28,601398
4.88,2018-06-29,601398
4.66,2018-07-02,601398
4.71,2018-07-03,601398
4.73,2018-07-04,601398
4.8,2018-07-05,601398
4.85,2018-07-06,601398
5.07,2018-07-09,601398
5.06,2018-07-10,601398
5.03,2018-07-11,601398
5.19,2018-07-12,601398
5.13,2018-07-13,601398
5.01,2018-07-16,601398
5.01,2018-07-17,601398
5.01,2018-07-18,601398
4.95,2018-07-19,601398
5.24,2018-07-20,601398
5.36,2018-07-23,601398
5.37,2018-07-24,601398
5.38,2018-07-25,601398
5.32,2018-07-26,601398
5.31,2018-07-27,601398
5.35,2018-07-30,601398
5.41,2018-07-31,601398
5.32,2018-08-01,601398
5.21,2018-08-02,601398
5.25,2018-08-03,601398
5.28,2018-08-06,601398
5.36,2018-08-07,601398
5.28,2018-08-08,601398
5.33,2018-08-09,601398
5.27,2018-08-10,601398
5.17,2018-08-13,601398
5.15,2018-08-14,601398
5.07,2018-08-15,601398
5.05,2018-08-16,601398
5.04,2018-08-17,601398
5.13,2018-08-20,601398
5.17,2018-08-21,601398
5.16,2018-08-22,601398
5.17,2018-08-23,601398
5.26,2018-08-24,601398
5.3,2018-08-27,601398
5.28,2018-08-28,601398
5.26,2018-08-29,601398
5.17,2018-08-30,601398
5.21,2018-08-31,601398
5.2,2018-09-03,601398
5.21,2018-09-04,601398
5.12,2018-09-05,601398
5.1,2018-09-06,601398
5.12,2018-09-07,601398
5.11,2018-09-10,601398
5.11,2018-09-11,601398
5.07,2018-09-12,601398
5.14,2018-09-13,601398
5.14,2018-09-14,601398
5.1,2018-09-17,601398
5.16,2018-09-18,601398
5.21,2018-09-19,601398
5.26,2018-09-20,601398
5.51,2018-09-21,601398
5.43,2018-09-25,601398
5.46,2018-09-26,601398
5.45,2018-09-27,601398
5.53,2018-09-28,601398
5.33,2018-10-08,601398
5.3,2018-10-09,601398
5.32,2018-10-10,601398
5.17,2018-10-11,601398
5.3,2018-10-12,601398
5.2,2018-10-15,601398
5.22,2018-10-16,601398
5.2,2018-10-17,601398
5.12,2018-10-18,601398
5.25,2018-10-19,601398
5.39,2018-10-22,601398
5.24,2018-10-23,601398
5.38,2018-10-24,601398
5.41,2018-10-25,601398
5.45,2018-10-26,601398
5.34,2018-10-29,601398
5.39,2018-10-30,601398
5.39,2018-10-31,601398
5.33,2018-11-01,601398
5.4,2018-11-02,601398
5.33,2018-11-05,601398
5.3,2018-11-06,601398
5.29,2018-11-07,601398
5.3,2018-11-08,601398
5.12,2018-11-09,601398
5.13,2018-11-12,601398
5.15,2018-11-13,601398
5.09,2018-11-14,601398
5.12,2018-11-15,601398
5.11,2018-11-16,601398
5.18,2018-11-19,601398
5.12,2018-11-20,601398
5.13,2018-11-21,601398
5.13,2018-11-22,601398
5.1,2018-11-23,601398
5.12,2018-11-26,601398
5.1,2018-11-27,601398
5.12,2018-11-28,601398
5.1,2018-11-29,601398
5.1,2018-11-30,601398
5.18,2018-12-03,601398
5.19,2018-12-04,601398
5.17,2018-12-05,601398
5.12,2018-12-06,601398
5.12,2018-12-07,601398
5.1,2018-12-10,601398
5.1,2018-12-11,601398
5.11,2018-12-12,601398
5.16,2018-12-13,601398
5.12,2018-12-14,601398
5.14,2018-12-17,601398
5.12,2018-12-18,601398
5.1,2018-12-19,601398
5.01,2018-12-20,601398
4.97,2018-12-21,601398
5.0,2018-12-24,601398
5.01,2018-12-25,601398
5.05,2018-12-26,601398
5.06,2018-12-27,601398
5.07,2018-12-28,601398
4.98,2019-01-02,601398
4.98,2019-01-03,601398
5.05,2019-01-04,601398
5.02,2019-01-07,601398
4.98,2019-01-08,601398
5.04,2019-01-09,601398
5.0,2019-01-10,601398
5.02,2019-01-11,601398
4.98,2019-01-14,601398
5.01,2019-01-15,601398
5.02,2019-01-16,601398
5.03,2019-01-17,601398
5.16,2019-01-18,601398
5.22,2019-01-21,601398
5.16,2019-01-22,601398
5.21,2019-01-23,601398
5.23,2019-01-24,601398
5.29,2019-01-25,601398
5.27,2019-01-28,601398
5.31,2019-01-29,601398
5.32,2019-01-30,601398
5.42,2019-01-31,601398
5.41,2019-02-01,601398
5.4,2019-02-11,601398
5.41,2019-02-12,601398
5.47,2019-02-13,601398
5.41,2019-02-14,601398
5.28,2019-02-15,601398
5.36,2019-02-18,601398
5.33,2019-02-19,601398
5.33,2019-02-20,601398
5.33,2019-02-21,601398
5.32,2019-02-22,601398
5.65,2019-02-25,601398
5.53,2019-02-26,601398
5.56,2019-02-27,601398
5.51,2019-02-28,601398
5.6,2019-03-01,601398
5.61,2019-03-04,601398
5.57,2019-03-05,601398
5.6,2019-03-06,601398
5.52,2019-03-07,601398
5.35,2019-03-08,601398
5.37,2019-03-11,601398
5.38,2019-03-12,601398
5.34,2019-03-13,601398
5.33,2019-03-14,601398
5.34,2019-03-15,601398
5.41,2019-03-18,601398
5.41,2019-03-19,601398
5.37,2019-03-20,601398
5.35,2019-03-21,601398
5.34,2019-03-22,601398
5.24,2019-03-25,601398
5.22,2019-03-26,601398
5.28,2019-03-27,601398
5.22,2019-03-28,601398
5.33,2019-03-29,601398
5.4,2019-04-01,601398
5.42,2019-04-02,601398
5.46,2019-04-03,601398
5.56,2019-04-04,601398
5.57,2019-04-08,601398
5.54,2019-04-09,601398
5.51,2019-04-10,601398
5.49,2019-04-11,601398
5.49,2019-04-12,601398
5.56,2019-04-15,601398
5.75,2019-04-16,601398
5.76,2019-04-17,601398
5.69,2019-04-18,601398
5.73,2019-04-19,601398
5.58,2019-04-22,601398
5.56,2019-04-23,601398
5.56,2019-04-24,601398
5.49,2019-04-25,601398
5.47,2019-04-26,601398
5.48,2019-05-06,601398
5.42,2019-05-07,601398
5.35,2019-05-08,601398
5.29,2019-05-09,601398
5.37,2019-05-10,601398
5.31,2019-05-13,601398
5.29,2019-05-14,601398
5.33,2019-05-15,601398
5.35,2019-05-16,601398
5.33,2019-05-17,601398
5.37,2019-05-20,601398
5.4,2019-05-21,601398
5.41,2019-05-22,601398
5.41,2019-05-23,601398
5.46,2019-05-24,601398
5.41,2019-05-27,601398
5.43,2019-05-28,601398
5.41,2019-05-29,601398
5.43,2019-05-30,601398
5.37,2019-05-31,601398
5.46,2019-06-03,601398
5.49,2019-06-04,601398
5.52,2019-06-05,601398
5.49,2019-06-06,601398
5.54,2019-06-10,601398
5.55,2019-06-11,601398
5.52,2019-06-12,601398
5.49,2019-06-13,601398
5.5,2019-06-14,601398
5.5,2019-06-17,601398
5.5,2019-06-18,601398
5.54,2019-06-19,601398
5.59,2019-06-20,601398
5.6,2019-06-21,601398
5.63,2019-06-24,601398
5.58,2019-06-25,601398
5.6,2019-06-26,601398
5.66,2019-06-27,601398
5.64,2019-06-28,601398
5.67,2019-07-01,601398
5.68,2019-07-02,601398
5.67,2019-07-03,601398
5.68,2019-07-04,601398
5.67,2019-07-05,601398
5.59,2019-07-08,601398
5.58,2019-07-09,601398
5.55,2019-07-10,601398
5.57,2019-07-11,601398
5.62,2019-07-12,601398
5.6,2019-07-15,601398
5.61,2019-07-16,601398
5.56,2019-07-17,601398
5.57,2019-07-18,601398
5.6,2019-07-19,601398
5.64,2019-07-22,601398
5.66,2019-07-23,601398
5.69,2019-07-24,601398
5.69,2019-07-25,601398
5.69,2019-07-26,601398
5.65,2019-07-29,601398
5.66,2019-07-30,601398
5.64,2019-07-31,601398
5.61,2019-08-01,601398
5.56,2019-08-02,601398
5.48,2019-08-05,601398
5.41,2019-08-06,601398
5.39,2019-08-07,601398
5.43,2019-08-08,601398
5.46,2019-08-09,601398
5.51,2019-08-12,601398
5.51,2019-08-13,601398
5.53,2019-08-14,601398
5.56,2019-08-15,601398
5.5,2019-08-16,601398
5.47,2019-08-19,601398
5.42,2019-08-20,601398
5.43,2019-08-21,601398
5.4,2019-08-22,601398
5.42,2019-08-23,601398
5.38,2019-08-26,601398
5.42,2019-08-27,601398
5.4,2019-08-28,601398
5.42,2019-08-29,601398
5.39,2019-08-30,601398
5.39,2019-09-02,601398
5.4,2019-09-03,601398
5.47,2019-09-04,601398
5.5,2019-09-05,601398
5.52,2019-09-06,601398
5.51,2019-09-09,601398
5.5,2019-09-10,601398
5.55,2019-09-11,601398
5.57,2019-09-12,601398
5.57,2019-09-16,601398
5.51,2019-09-17,601398
5.5,2019-09-18,601398
5.5,2019-09-19,601398
5.53,2019-09-20,601398
5.48,2019-09-23,601398
5.5,2019-09-24,601398
5.49,2019-09-25,601398
5.55,2019-09-26,601398
5.54,2019-09-27,601398
5.53,2019-09-30,601398
5.56,2019-10-08,601398
5.58,2019-10-09,601398
5.57,2019-10-10,601398
5.64,2019-10-11,601398
5.72,2019-10-14,601398
5.72,2019-10-15,601398
5.72,2019-10-16,601398
5.71,2019-10-17,601398
5.67,2019-10-18,601398
5.79,2019-10-21,601398
5.81,2019-10-22,601398
5.87,2019-10-23,601398
5.92,2019-10-24,601398
5.98,2019-10-25,601398
5.93,2019-10-28,601398
5.91,2019-10-29,601398
5.95,2019-10-30,601398
5.91,2019-10-31,601398
5.94,2019-11-01,601398
5.9,2019-11-04,601398
5.92,2019-11-05,601398
5.98,2019-11-06,601398
5.95,2019-11-07,601398
5.87,2019-11-08,601398
5.77,2019-11-11,601398
5.8,2019-11-12,601398
5.77,2019-11-13,601398
5.75,2019-11-14,601398
5.79,2019-11-15,601398
5.82,2019-11-18,601398
5.85,2019-11-19,601398
5.8,2019-11-20,601398
5.73,2019-11-21,601398
5.71,2019-11-22,601398
5.83,2019-11-25,601398
5.85,2019-11-26,601398
5.88,2019-11-27,601398
5.84,2019-11-28,601398
5.79,2019-11-29,601398
5.81,2019-12-02,601398
5.79,2019-12-03,601398
5.76,2019-12-04,601398
5.77,2019-12-05,601398
5.74,2019-12-06,601398
5.74,2019-12-09,601398
5.71,2019-12-10,601398
5.75,2019-12-11,601398
5.74,2019-12-12,601398
5.82,2019-12-13,601398
5.78,2019-12-16,601398
5.84,2019-12-17,601398
5.87,2019-12-18,601398
5.93,2019-12-19,601398
5.94,2019-12-20,601398
5.88,2019-12-23,601398
5.86,2019-12-24,601398
5.83,2019-12-25,601398
5.86,2019-12-26,601398
5.9,2019-12-27,601398
5.89,2019-12-30,601398
5.88,2019-12-31,601398
5.97,2020-01-02,601398
5.99,2020-01-03,601398
5.97,2020-01-06,601398
6.01,2020-01-07,601398
5.91,2020-01-08,601398
5.91,2020-01-09,601398
5.91,2020-01-10,601398
5.93,2020-01-13,601398
5.94,2020-01-14,601398
5.88,2020-01-15,601398
5.8,2020-01-16,601398
5.82,2020-01-17,601398
5.84,2020-01-20,601398
5.77,2020-01-21,601398
5.79,2020-01-22,601398
5.72,2020-01-23,601398
5.42,2020-02-03,601398
5.5,2020-02-04,601398
5.49,2020-02-05,601398
5.5,2020-02-06,601398
5.44,2020-02-07,601398
5.42,2020-02-10,601398
5.46,2020-02-11,601398
5.46,2020-02-12,601398
5.41,2020-02-13,601398
5.43,2020-02-14,601398
5.49,2020-02-17,601398
5.46,2020-02-18,601398
5.48,2020-02-19,601398
5.51,2020-02-20,601398
5.49,2020-02-21,601398
5.44,2020-02-24,601398
5.41,2020-02-25,601398
5.41,2020-02-26,601398
5.4,2020-02-27,601398
5.3,2020-02-28,601398
5.36,2020-03-02,601398
5.38,2020-03-03,601398
5.39,2020-03-04,601398
5.46,2020-03-05,601398
5.41,2020-03-06,601398
5.31,2020-03-09,601398
5.36,2020-03-10,601398
5.32,2020-03-11,601398
5.29,2020-03-12,601398
5.22,2020-03-13,601398
5.17,2020-03-16,601398
5.17,2020-03-17,601398
5.11,2020-03-18,601398
4.99,2020-03-19,601398
5.08,2020-03-20,601398
